Campaign Name,Delivered,Opened,Clicked,Unsubscribed,Complained,Permanent Failures,Temporary Failures,Replied,Revenue,Orders,Open Rate (%),Click Rate (%)
"BadBizAdvice | ""If they don't reply your message wasn't aggressive enough""",2480,1486,3,7,0,6,2,0,0,0,59.92,0.12
"BadBizAdvice | ""Just send more DMs volume always wins""",2454,1460,25,9,0,5,5,0,9116.1,2,59.49,1.02
"BadBizAdvice | ""Let AI write it your audience won't notice""",2600,1521,3,6,0,10,1,1,0,0,58.5,0.12
" BadBizAdvice | ""More content fixes weak positioning""",2525,1472,6,6,0,7,4,1,0,0,58.3,0.24
"BadBizAdvice | ""If it sounds generic it appeals to more people""",2500,1452,3,10,0,9,3,0,0,0,58.08,0.12
"#theGAPyoumiss | ""I'll learn AI when I have more time""",2500,1404,5,6,0,10,1,2,0,0,56.16,0.2
"BadBizAdvice | ""Sales come from pressure not clarity""",2574,1437,1,7,0,8,1,0,0,0,55.83,0.04
Abusive DMs Damage Personal Brands,2480,1320,8,9,0,5,4,0,0,0,53.23,0.32
"#theGAPyoumiss | ""Good people shouldn't have to sell""",2483,1316,2,9,0,12,3,0,2101.5,1,53,0.08
"BadBizAdvice | ""Engagement matters more than intent""",346,178,1,2,0,0,1,0,0,0,51.45,0.29
Why Being Visible Still Does Not Pay,2465,1247,8,4,0,10,2,0,0,0,50.59,0.32
Why Most People Are Using AI in the Worst Way Possible,2523,1257,4,3,0,10,3,0,0,0,49.82,0.16
What this week taught me about momentum,2599,1288,10,11,0,4,7,0,0,0,49.56,0.38
What Actually Makes People Trust You at Scale,2426,1200,1,2,0,13,2,2,0,0,49.46,0.04
" BadBizAdvice | ""Niche later money first""",2505,1234,1,3,0,10,3,1,0,0,49.26,0.04
 Simplify To Amplify Everything In Business,2499,1229,6,5,0,10,2,1,0,0,49.18,0.24
"BadBizAdvice | ""Trying to sell to everyone keeps options open""",2446,1191,1,3,0,5,1,0,0,0,48.69,0.04
"BadBizAdvice | ""If it's educational it'll eventually convert""",2504,1215,6,3,0,9,4,0,0,0,48.52,0.24
Next week is already sorted,2628,1272,3,5,0,1,7,0,0,0,48.4,0.11
" BadBizAdvice | ""Discounting is just smart marketing""",2517,1214,1,11,0,9,1,0,0,0,48.23,0.04
"BadBizAdvice | ""Short term wins beat long term trust""",2488,1188,6,7,0,4,1,0,0,0,47.75,0.24
"BadBizAdvice | ""Authority is built by posting more tips""",2592,1234,4,5,0,10,4,0,0,0,47.61,0.15
 I stopped doing what everyone recommends,2640,1255,2,6,0,2,0,1,0,0,47.54,0.08
"BadBizAdvice | ""Your offer should fit as many people as possible""",2587,1227,1,6,0,10,107,1,0,0,47.43,0.04
North Star Business Objectives,2545,1204,5,2,0,8,1,0,2101.5,1,47.31,0.2
"BadBizAdvice | ""Chase trends alignment can wait""",2559,1207,1,2,0,8,2,1,0,0,47.17,0.04
"BadBizAdvice | ""If it worked for them copy it exactly""",2534,1188,2,5,0,6,1,1,467,1,46.88,0.08
One small shift made a big difference,2656,1238,26,7,0,2,3,0,2101.5,1,46.61,0.98
The leverage point nobody talks about,2632,1219,29,8,0,5,2,0,0,0,46.31,1.1
" ""You don't need brand just tactics""",2510,1158,2,8,0,9,4,0,0,0,46.14,0.08
 How AI Is Quietly Changing Who Wins,2481,1141,9,2,0,1,1,0,0,0,45.99,0.36
 A calmer way to get results,2500,1146,28,4,0,0,6,0,0,0,45.84,1.12
How I finally broke the plateau,2630,1204,4,1,0,4,2,0,0,0,45.78,0.15
Why Smart People Keep Getting Business Decisions Wrong,2637,1205,5,3,0,1,0,0,0,0,45.7,0.19
" ""Objections mean you didn't push hard enough""",2518,1149,3,3,0,8,4,0,0,0,45.63,0.12
"#theGAPyoumiss | ""More reach automatically means more enquiries""",2528,1141,11,7,0,9,2,1,0,0,45.13,0.44
"#theGAPyoumiss | ""Being authentic is enough""",2444,1103,25,3,0,10,3,4,2101.5,1,45.13,1.02
"#theGAPyoumiss | ""If they watch long enough they'll eventually buy""",2492,1120,10,5,0,9,4,1,0,0,44.94,0.4
"#theGAPyoumiss | ""Consistency matters more than positioning""",2472,1110,2,2,0,11,4,0,0,0,44.9,0.08
 I almost skipped this step,2506,1125,12,4,0,1,10,0,0,0,44.89,0.48
Why Consistency Is Not the Lever You Think It Is,2470,1108,6,6,0,5,3,0,298.5,1,44.86,0.24
"#theGAPyoumiss | ""If they're interested they'll just say yes""",2527,1129,18,3,0,11,4,0,7014.6,1,44.68,0.71
I changed my approach and everything shifted,2617,1169,26,9,0,49,24,0,0,0,44.67,0.99
How I freed up 10 hours without hiring,2452,1095,26,5,0,3,6,0,0,0,44.66,1.06
Why this gets misunderstood so often,2442,1088,24,3,0,4,13,0,0,0,44.55,0.98
The scaling lie I believed for years,2457,1093,3,4,0,0,15,0,0,0,44.49,0.12
"#theGAPyoumiss | ""If I stay neutral I won't lose followers""",2498,1105,1,1,0,10,1,1,0,0,44.24,0.04
The Fence Of Despair With Messaging,2542,1111,7,1,0,11,4,0,1299,1,43.71,0.28
Read this before you plan next quarter,2518,1098,13,2,0,3,2,0,467,1,43.61,0.52
"#theGAPyoumiss | ""AI is just for content creation""",2429,1047,24,1,1,12,4,0,0,0,43.1,0.99
"Being Known Is Easy, Being Trusted Is Hard",2612,1108,2,4,0,1,2,0,0,0,42.42,0.08
"#theGAPyoumiss | ""My results should speak for themselves""",2402,971,4,0,0,11,5,1,0,0,40.42,0.17
I didn't connect these dots until now,2455,988,4,4,0,3,11,0,0,0,40.24,0.16
"#theGAPyoumiss | ""If they need it they'll find the money""",2452,968,21,3,0,13,5,0,0,0,39.48,0.86
You're probably not doing this,2579,998,25,9,0,5,18,0,0,0,38.7,0.97
" BadBizAdvice | ""Problem solution features repeat forever""",2449,735,24,4,0,4,4,0,0,0,30.01,0.98
" BadBizAdvice | ""Only post top of funnel content selling scares people""


",5314,1212,4,5,0,34,16,0,0,0,22.81,0.08
 Most people overlook this part,5355,1201,22,5,0,17,17,0,0,0,22.43,0.41
The advantage most people walk past,5333,1196,30,7,0,31,20,0,0,0,22.43,0.56
"#theGAPyoumiss | ""My results should speak for themselves"" (clone)",2530,564,3,2,0,8,9,0,0,0,22.29,0.12
"#theGAPyoumiss | ""AI will just figure it out for me""",5435,1173,2,5,0,41,13,1,0,0,21.58,0.04
11:00am Live Workshop - Last Chance To Join!,5519,1180,23,5,0,21,13,0,0,0,21.38,0.42
"#theGAPyoumiss | ""I just need a bigger audience first""",5410,1107,12,1,0,45,17,0,0,0,20.46,0.22
 Why this works when nothing else does,5418,1009,25,12,0,335,24,0,0,0,18.62,0.46
There's a smarter way to do this,5651,1039,1,7,0,27,14,1,0,0,18.39,0.02